group,source_dir,scene,has_foundation_reference,fixed69_status,height,width,crop_y0,crop_y1,crop_x0,crop_x1,feature_matches,median_vertical_residual_px,p90_vertical_residual_px,geometry_status,igev_ms,las_ms,igev_finite_pct,igev_positive_pct,igev_disp_min,igev_disp_p01,igev_disp_median,igev_disp_p99,igev_disp_max,las_finite_pct,las_positive_pct,las_disp_min,las_disp_p01,las_disp_median,las_disp_p99,las_disp_max,inter_model_mae_px,inter_model_median_px,inter_model_p95_px,inter_model_bad3_pct,inter_model_correlation,igev_epe,igev_d1,igev_bad1,igev_bad2,igev_bad3,igev_valid_pixels,igev_reference_coverage_pct,las_epe,las_d1,las_bad1,las_bad2,las_bad3,las_valid_pixels,las_reference_coverage_pct,igev_cloud_points,igev_cloud_coverage_pct,igev_cloud_z_p01,igev_cloud_z_median,igev_cloud_z_p99,las_cloud_points,las_cloud_coverage_pct,las_cloud_z_p01,las_cloud_z_median,las_cloud_z_p99,end_to_end_ms
fdjyp3,FDJYP-3-rectified_images,202506281624-0073,True,kept,1280,720,234,1052,126,638,694,1.5745713710784912,5.914311885833745,warning,114.22548303380609,35.73359688743949,100.0,100.0,29.887481689453125,31.478536796569824,36.5378303527832,43.98570346832274,45.99384689331055,100.0,100.0,30.73981285095215,31.705748558044434,36.50825500488281,44.1891653060913,47.055763244628906,0.2099583973666348,0.13364791870117188,0.6148643493652344,0.1310838172371638,0.9903100473489828,0.9251367177012716,4.667204691320293,6.601466992665037,5.243352689486552,4.667204691320293,418816,100.0,0.9814535612399828,4.209963325183374,8.597570293398533,5.1982254737163816,4.209963325183374,418816,100.0,414639,99.00266465464547,50.162967681884766,60.36785888671875,69.48257827758789,414638,99.00242588630806,49.93700019836426,60.424333572387695,69.40293663024903,636.2178390845656
luowen,luowen_rectified_images,656565-0001,False,kept,1280,720,234,1052,126,638,68,4.6427001953125,56.490560150146514,warning,115.371473133564,35.63036397099495,100.0,100.0,23.75493621826172,63.66173973083496,125.14329528808594,133.41082687377929,135.5297088623047,100.0,100.0,61.01544189453125,70.85407371520996,96.67289733886719,134.89560241699218,158.93495178222656,25.892789075406117,25.820972442626953,47.384904861450195,95.51425924511003,0.06289997234647073,,,,,,,,,,,,,,,414100,98.8739685207824,16.24495502471924,17.30716323852539,34.029662513732916,414100,98.8739685207824,16.717813835144042,22.43303108215332,30.527390270233155,993.289337027818
luowen,luowen_rectified_images,656565-0002,False,kept,1280,720,234,1052,126,638,109,8.77614974975586,106.09848327636719,high_risk,114.91010384634137,35.658215172588825,100.0,100.0,14.452916145324707,26.141928291320802,68.11505889892578,124.6100601196289,128.19422912597656,100.0,100.0,67.310791015625,71.19452209472657,171.60134887695312,187.99022979736327,187.99986267089844,78.8250005579483,100.45224380493164,141.80761814117432,94.14850435513448,-0.2273296367082027,,,,,,,,,,,,,,,354781,84.71046951405869,17.37745056152344,32.936763763427734,84.14078521728518,354782,84.71070828239608,11.516757011413574,12.486142635345459,15.901113328933716,878.9383498951793
luowen,luowen_rectified_images,656565-0003,False,kept,1280,720,234,1052,126,638,132,1.8027887344360352,31.61160011291504,warning,116.05765391141176,36.07444558292627,100.0,100.0,34.33296203613281,51.67869853973389,90.27084350585938,109.54378814697266,109.87411499023438,100.0,100.0,48.814117431640625,51.82940731048584,90.78038024902344,109.45102348327637,109.81010437011719,1.3293575798241026,0.3804512023925781,3.843836784362793,6.319959122860635,0.9716854691619173,,,,,,,,,,,,,,,254073,60.664587790342296,19.747776107788084,22.766769409179688,34.10275543212884,254074,60.66482655867971,19.771459426879883,22.694429397583008,26.646425762176513,808.795269113034
luowen,luowen_rectified_images,656565-0004,False,kept,1280,720,234,1052,126,638,172,3.860405921936035,23.062412834167482,warning,115.2881127782166,36.36410692706704,100.0,99.99952246332519,-0.06357737630605698,2.032184863090515,100.35191345214844,123.42133598327636,131.28395080566406,100.0,100.0,51.70378112792969,52.6083267211914,100.56729125976562,134.10286712646476,140.92282104492188,7.912846603986377,1.250518798828125,54.025126338005066,36.261031097188265,0.8164442176684077,,,,,,,,,,,,,,,400978,95.74085039731052,17.54236530303955,21.423233032226562,84.13533843994112,414068,98.86632793398533,16.149008388519288,21.49289894104004,41.156823234558104,796.4407401159406
luowen,luowen_rectified_images,656565-0005,False,kept,1280,720,234,1052,126,638,175,2.0294597148895264,7.846364974975584,warning,114.67035580426455,36.65896086022258,100.0,100.0,1.134267807006836,4.542771935462952,117.24360656738281,127.31919059753417,150.79994201660156,100.0,100.0,56.776004791259766,57.48245677947998,116.49638366699219,143.40678176879882,147.78424072265625,5.215612332745624,1.4066333770751953,23.09101676940918,26.790762530562347,0.9000134194654967,,,,,,,,,,,,,,,407906,97.3950374388753,17.006468105316163,18.39258575439453,69.94096755981452,414882,99.06068536063569,15.098751497268676,18.556591987609863,37.66704540252685,886.1393709667027
luowen,luowen_rectified_images,656565-0006,False,kept,1280,720,234,1052,126,638,95,0.9659287929534912,36.45195388793947,good,114.43186830729246,35.79921228811145,100.0,100.0,1.905040979385376,40.66067943572998,59.037452697753906,73.55079536437988,115.31414031982422,100.0,100.0,39.0567512512207,40.1242862701416,58.56917190551758,73.23956069946288,73.80250549316406,0.6820212318778293,0.328155517578125,1.8097038269042969,2.495606662591687,0.9849909661527938,,,,,,,,,,,,,,,418229,99.85984298594131,29.437356338500976,36.826087951660156,53.228564453124996,418269,99.86939371943765,29.562439804077147,37.02907943725586,53.95430847167969,745.2419898472726
luowen,luowen_rectified_images,656565-0007,False,kept,1280,720,234,1052,126,638,188,2.6426596641540527,29.7092176437378,warning,114.73969602957368,36.2363588064909,100.0,100.0,57.08595275878906,62.90857276916504,68.79248046875,116.20304527282713,118.48706817626953,100.0,100.0,61.85325622558594,62.60932846069336,68.70361328125,109.34752044677734,110.77141571044922,0.7909308756020803,0.3249626159667969,2.9309864044189453,4.850817542787286,0.9943721104028567,,,,,,,,,,,,,,,369528,88.23158618581907,18.63577880859375,31.667423248291016,34.43127998352051,369528,88.23158618581907,19.79784996032715,31.7160587310791,34.592805519104004,718.4610669501126
luowen,luowen_rectified_images,656565-0008,False,kept,1280,720,234,1052,126,638,198,1.820556640625,13.23477115631106,warning,114.42818213254213,35.98661907017231,100.0,100.0,22.037355422973633,63.96866416931152,92.16464233398438,114.20364303588867,114.90388488769531,100.0,100.0,63.22749328613281,63.775948715209964,92.18840026855469,113.88644027709961,115.07377624511719,1.0977334972052017,0.38928985595703125,2.3544158935546875,3.96427070599022,0.9641992692859194,,,,,,,,,,,,,,,351779,83.99368696515891,18.94959102630615,30.50454330444336,33.868865432739256,351779,83.99368696515891,19.001401519775392,30.291900634765625,33.966721801757814,742.729899007827
luowen,luowen_rectified_images,656565-0009,False,kept,1280,720,234,1052,126,638,166,2.442979574203491,10.408365726470947,warning,115.97914295271039,36.32857231423259,100.0,100.0,7.748561859130859,19.326118659973144,103.65228271484375,120.26098175048828,125.75667572021484,100.0,100.0,48.64280319213867,52.039673233032225,104.05360412597656,118.41964454650879,120.4677505493164,3.471458127982869,0.47960662841796875,23.958681106567383,17.19466305012225,0.893080463732331,,,,,,,,,,,,,,,395490,94.43048976161369,18.00986843109131,20.850040435791016,109.8808851623535,395967,94.54438225855746,18.281315422058107,20.761751174926758,41.64382453918456,791.4128229022026
